,0,1,2,3,4,5,6,7
"[0, 0, 15, 0]",0.0,0.0,7.129223504051508e-10,0.0,0.0,0.0,0.0,0.0
"[1, 0, 15, 0]",1.385037527476296e-09,1.3730736175705695e-05,6.829017473452321e-10,0.0,0.0,0.0,0.0,0.0
"[1, 0, 23, 0]",0.0013364220697887111,5.502464603951537e-05,2.6460612600409894e-05,6.796769415967064e-05,1.6711246325884948e-05,8.26939796358423e-05,5.18443236163877e-05,5.913763463007495e-05
"[1, 1, 23, 0]",0.00019200464154223897,0.0002302654463142899,0.00015172833048011358,0.00019450550099057737,0.00019308501222763312,0.0001693662745477375,0.00021353562284683516,0.00039039212059458465
"[1, 1, 23, 1]",6.36450662327066e-07,7.451555910382753e-07,3.8269741148298706e-07,2.534807489104208e-07,3.172409678875947e-05,5.758144709432489e-06,5.975470280339973e-07,6.899564402788965e-07
"[1, 1, 23, 2]",2.234990822599002e-09,2.1991471507763257e-09,2.217736598499225e-07,1.1229229320135238e-09,1.1296841140126332e-09,1.097418763676218e-09,2.1578821705819997e-09,2.164674691357033e-09
"[1, 0, 8, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 3]",2.8178800347607636e-11,3.777761943471675e-11,6.284503008056815e-11,4.573888364583125e-09,6.435900539977705e-11,9.760982971984192e-11,1.0862734192614596e-09,7.676589029066186e-11
"[1, 1, 23, 4]",0.0,0.0,0.0,0.0,0.0,0.0,8.212872509755385e-14,6.818325548711003e-11
"[1, 1, 23, 5]",0.0,8.106375937404468e-14,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 23, 6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
