,0,1,2,3,4,5,6,7
[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 1. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 0. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 0. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 1. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 1. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 1. 1. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],-0.0021923726936647265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0.],-0.10578156605817565,-0.02152448202460192,-0.030561252626589864,0.0,0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 1. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
